company,Prev_Close,Current_Price,Changes,comments
Indo Tech Transforme,185.35,198.95,7.34,weekly nse groupall 2022-12-02
Apollo Pipes,475.70,510.55,7.33,weekly nse groupall 2022-12-02
Kirloskar Oil Engine,312.90,335.80,7.32,weekly nse groupall 2022-12-02
Triveni Eng.&Ind.Ltd,284.65,305.50,7.32,weekly nse groupall 2022-12-02
ARSS Infrastructure,20.55,22.05,7.3,weekly nse groupall 2022-12-02
Mazagon Dock Ship,852.00,914.00,7.28,weekly nse groupall 2022-12-02
Parag Milk Foods,103.70,111.25,7.28,weekly nse groupall 2022-12-02
Rajshree Sugars,42.60,45.70,7.28,weekly nse groupall 2022-12-02
SVP Global Textiles,31.70,34.00,7.26,weekly nse groupall 2022-12-02
Union Bank of In,76.50,82.05,7.25,weekly nse groupall 2022-12-02
Deccan Cements,491.70,527.25,7.23,weekly nse groupall 2022-12-02
RattanIndia Power,4.15,4.45,7.23,weekly nse groupall 2022-12-02
Cybertech System,127.30,136.50,7.23,weekly nse groupall 2022-12-02
Aries Agro Ltd.,134.10,143.75,7.2,weekly nse groupall 2022-12-02
Sakar Healthcare,235.30,252.15,7.16,weekly nse groupall 2022-12-02
Shriram Pistons,945.80,"1,013.40",7.15,weekly nse groupall 2022-12-02
Bajaj Consumer Care,158.05,169.30,7.12,weekly nse groupall 2022-12-02
Zomato,64.00,68.55,7.11,weekly nse groupall 2022-12-02
Morepen Labs.Lt,28.85,30.90,7.11,weekly nse groupall 2022-12-02
Hathway Cable & Data,16.20,17.35,7.1,weekly nse groupall 2022-12-02
KM Sugar Mills,25.55,27.35,7.05,weekly nse groupall 2022-12-02
Supreme Inds.,"2,343.25","2,508.10",7.04,weekly nse groupall 2022-12-02
PC Jeweller L,79.30,84.85,7.0,weekly nse groupall 2022-12-02
Tamilnadu Petroprod,89.75,96.00,6.96,weekly nse groupall 2022-12-02
Vaibhav Global,327.70,350.45,6.94,weekly nse groupall 2022-12-02
Udaipur Cement Works,31.90,34.10,6.9,weekly nse groupall 2022-12-02
Taj GVK Hotels & Res,205.75,219.90,6.88,weekly nse groupall 2022-12-02
ICICI Lombard Gen.,"1,159.35","1,238.65",6.84,weekly nse groupall 2022-12-02
Mukta Arts Ltd.,55.55,59.35,6.84,weekly nse groupall 2022-12-02
Savita Oil Tech,303.85,324.60,6.83,weekly nse groupall 2022-12-02
Arvind Ltd.,93.05,99.40,6.82,weekly nse groupall 2022-12-02
Mahindra Lifespace D,367.20,392.20,6.81,weekly nse groupall 2022-12-02
Praxis Home Retail L,27.95,29.85,6.8,weekly nse groupall 2022-12-02
HIL,"2,588.45","2,764.25",6.79,weekly nse groupall 2022-12-02
Apar Industries,"1,476.45","1,576.45",6.77,weekly nse groupall 2022-12-02
Ganges Securities,108.65,116.00,6.76,weekly nse groupall 2022-12-02
Tokyo Plast Inte,100.00,106.75,6.75,weekly nse groupall 2022-12-02
Dilip Buildcon Ltd.,223.05,238.10,6.75,weekly nse groupall 2022-12-02
Anjani Portland,226.00,241.20,6.73,weekly nse groupall 2022-12-02
Rajdarshan Indus,32.80,35.00,6.71,weekly nse groupall 2022-12-02
Jaiprakash Power Ven,7.45,7.95,6.71,weekly nse groupall 2022-12-02
Oberoi Realty,894.50,954.25,6.68,weekly nse groupall 2022-12-02
ICICI Pru Life,452.10,482.25,6.67,weekly nse groupall 2022-12-02
Kajaria Ceramics,"1,111.30","1,185.45",6.67,weekly nse groupall 2022-12-02
Ion Exchange (India),"2,618.80","2,792.90",6.65,weekly nse groupall 2022-12-02
Orient Cement Ltd.,123.40,131.60,6.65,weekly nse groupall 2022-12-02
Arihant Superstructu,223.50,238.25,6.6,weekly nse groupall 2022-12-02
Astral Ltd,"1,894.00","2,018.35",6.57,weekly nse groupall 2022-12-02
NDTV,385.60,410.95,6.57,weekly nse groupall 2022-12-02
Compuage Infocom Ltd,24.40,26.00,6.56,weekly nse groupall 2022-12-02
Osia Hyper Retail,300.00,319.65,6.55,weekly nse groupall 2022-12-02
Vishwaraj Sugar Ind,16.05,17.10,6.54,weekly nse groupall 2022-12-02
Remsons Industri,244.40,260.35,6.53,weekly nse groupall 2022-12-02
Godrej Industries Lt,429.60,457.60,6.52,weekly nse groupall 2022-12-02
Nuvoco Vistas Corp,370.00,393.95,6.47,weekly nse groupall 2022-12-02
Rupa & Company L,292.35,311.25,6.46,weekly nse groupall 2022-12-02
Monarch Networth Cap,362.25,385.65,6.46,weekly nse groupall 2022-12-02
MOIL,158.15,168.35,6.45,weekly nse groupall 2022-12-02
RPP Infra Projects L,37.25,39.65,6.44,weekly nse groupall 2022-12-02
Simplex Infrastructu,58.40,62.15,6.42,weekly nse groupall 2022-12-02
Krebs Biochemicals &,108.50,115.45,6.41,weekly nse groupall 2022-12-02
Touchwood Entertainm,99.10,105.45,6.41,weekly nse groupall 2022-12-02
Euro India Fresh,147.10,156.50,6.39,weekly nse groupall 2022-12-02
Aksh Optifibre,10.20,10.85,6.37,weekly nse groupall 2022-12-02
Harrisons Malaya,139.00,147.85,6.37,weekly nse groupall 2022-12-02
GTL Ltd.,7.10,7.55,6.34,weekly nse groupall 2022-12-02
B L Kashyap & Sons,27.60,29.35,6.34,weekly nse groupall 2022-12-02
Jamna Auto Inds.,105.80,112.50,6.33,weekly nse groupall 2022-12-02
Prajay Engineers,13.45,14.30,6.32,weekly nse groupall 2022-12-02
Inox Wind Ltd.,119.65,127.20,6.31,weekly nse groupall 2022-12-02
Rushil Decor Ltd.,379.20,403.10,6.3,weekly nse groupall 2022-12-02
Newgen Software Tech,348.25,370.20,6.3,weekly nse groupall 2022-12-02
